time,lambda_main,queue_lambdas.Q1,queue_lambdas.Q2,queue_lambdas.Q3,delays.Q1,delays.Q2,delays.Q3
47,0.13092517802467882,0.13092517802467882,0.13092517802467882,0.13092517802467882,19.556613402885397,3.0192880506272703,4.446678437660864
48,0.12798869695905746,0.12798869695905746,0.12798869695905746,0.12798869695905746,18.494517204927458,2.992754047262829,4.389363936028671
49,0.14279069197547892,0.14279069197547892,0.14279069197547892,0.14279069197547892,25.46597407564622,3.131474387186405,4.6943630055265215
50,0.12699160030266343,0.12699160030266343,0.12699160030266343,0.12699160030266343,18.159638556048318,2.983850044618499,4.370237068613573
51,0.14018238163482596,0.14018238163482596,0.14018238163482596,0.14018238163482596,23.87980207751441,3.1061041723996614,4.637578841210399
52,0.1384958268320769,0.1384958268320769,0.1384958268320769,0.1384958268320769,22.955287185698296,3.089917285637076,4.60158738345
53,0.12557667544861859,0.12557667544861859,0.12557667544861859,0.12557667544861859,17.7047240989531,2.971305420175313,4.343379533493833
54,0.13060363744692674,0.13060363744692674,0.13060363744692674,0.13060363744692674,19.434405106568576,3.0163596973739795,4.440329709506895
55,0.1409270913053605,0.1409270913053605,0.1409270913053605,0.1409270913053605,24.312157810945983,3.1133057024557194,4.653650921836668
56,0.1432602803813235,0.1432602803813235,0.1432602803813235,0.1432602803813235,25.77419546663075,3.1360860144201226,4.704734208371795
57,0.15316542208682513,0.15316542208682513,0.15316542208682513,0.15316542208682513,34.61003579859353,3.2366265635438665,4.934696281012195
58,0.14658896005921807,0.14658896005921807,0.14658896005921807,0.14658896005921807,28.1929856214751,3.169169051867467,4.779585155734797
59,0.17603367203825068,0.17603367203825068,0.17603367203825068,0.17603367203825068,165.97225044008061,3.4953374054017403,5.562401422429929
60,0.14446638138765824,0.14446638138765824,0.14446638138765824,0.14446638138765824,26.601125587139133,3.1479930984108293,4.731583030553282
61,0.14134724962482134,0.14134724962482134,0.14134724962482134,0.14134724962482134,24.563068458963134,3.117383493483259,4.662767892716829
62,0.14031103500765443,0.14031103500765443,0.14031103500765443,0.14031103500765443,23.95339209783529,3.1073459013132227,4.640347458859222
63,0.12379831776592928,0.12379831776592928,0.12379831776592928,0.12379831776592928,17.164300400222874,2.955687438228803,4.310088058342754
64,0.14144023285697924,0.14144023285697924,0.14144023285697924,0.14144023285697924,24.61929779024559,3.1182873739604227,4.66479035562904
65,0.14439905513208867,0.14439905513208867,0.14439905513208867,0.14439905513208867,26.55356936110543,3.1473260459837573,4.730076218568753
66,0.1385031549575931,0.1385031549575931,0.1385031549575931,0.1385031549575931,22.959149356027016,3.0899872531507095,4.6017425588564755
67,0.13221312117028305,0.13221312117028305,0.13221312117028305,0.13221312117028305,20.061929392079723,3.0310749047673555,4.472291560078361
68,0.11933675408163844,0.11933675408163844,0.11933675408163844,0.11933675408163844,15.943363678828273,2.9172181186731176,4.228769944117218
69,0.11986041965020741,0.11986041965020741,0.11986041965020741,0.11986041965020741,16.077595371548796,2.9216814156015705,4.238155174383084
70,0.1329368011057555,0.1329368011057555,0.1329368011057555,0.1329368011057555,20.35748786489248,3.037738268995003,4.486813165290965
71,0.12786832563044398,0.12786832563044398,0.12786832563044398,0.12786832563044398,18.453435988429,2.9916763204573233,4.38704602460531
72,0.12581959734631454,0.12581959734631454,0.12581959734631454,0.12581959734631454,17.78119863696371,2.973451643153976,4.3479670822525565
73,0.13430920962541326,0.13430920962541326,0.13430920962541326,0.13430920962541326,20.942598728306017,3.0504556732415153,4.514612981001281
74,0.14362025879524434,0.14362025879524434,0.14362025879524434,0.14362025879524434,26.015571949686343,3.139630416254318,4.712715676640595
75,0.1395611999888908,0.1395611999888908,0.1395611999888908,0.1395611999888908,23.53075405441931,3.100122625602095,4.624257378322193
76,0.14054463977745363,0.14054463977745363,0.14054463977745363,0.14054463977745363,24.08818056286881,3.109603133694137,4.645383088037557
77,0.15145796580759738,0.15145796580759738,0.15145796580759738,0.15145796580759738,32.67887373726773,3.2188379826295535,4.893465030276935
78,0.14375777842626888,0.14375777842626888,0.14375777842626888,0.14375777842626888,26.108980793264315,3.1409865711805818,4.715771925610974
79,0.1376383573810344,0.1376383573810344,0.1376383573810344,0.1376383573810344,22.512169847240354,3.081752153479134,4.583502164504485
80,0.14448115234004277,0.14448115234004277,0.14448115234004277,0.14448115234004277,26.61158191527178,3.1481394832958456,4.731913743946397
81,0.13644879410933827,0.13644879410933827,0.13644879410933827,0.13644879410933827,21.925025333438793,3.070495902266643,4.558646754705199
82,0.13282709964920072,0.13282709964920072,0.13282709964920072,0.13282709964920072,20.312125889564584,3.036726297227102,4.48460579774248
83,0.1469467768683327,0.1469467768683327,0.1469467768683327,0.1469467768683327,28.48029265366297,3.1727669123019546,4.787773281771484
84,0.13584424280594667,0.13584424280594667,0.13584424280594667,0.13584424280594667,21.63821506324547,3.064806786325029,4.546117945339232
85,0.10979835532322604,0.10979835532322604,0.10979835532322604,0.10979835532322604,13.83883453684349,2.8382423515822714,4.064812895076828
86,0.12851419413670284,0.12851419413670284,0.12851419413670284,0.12851419413670284,18.676026077058406,2.997468116826836,4.399511842830327
87,0.12371228153017497,0.12371228153017497,0.12371228153017497,0.12371228153017497,17.138990365422686,2.9549360091676315,4.308490367777786
88,0.12418290984992951,0.12418290984992951,0.12418290984992951,0.12418290984992951,17.278359239324544,2.9590510921879427,4.317244433879277
89,0.13222140067488392,0.13222140067488392,0.13222140067488392,0.13222140067488392,20.065262289065146,3.031150973921783,4.4724571678259615
90,0.12901480278036284,0.12901480278036284,0.12901480278036284,0.12901480278036284,18.852283238494913,3.0019727524022564,4.409222863663852
91,0.13285843975146963,0.13285843975146963,0.13285843975146963,0.13285843975146963,20.325064502512788,3.037015333963179,4.485236188737787
92,0.11202476465668115,0.11202476465668115,0.11202476465668115,0.11202476465668115,14.278776644324536,2.8562915126092285,4.10193515128498
93,0.1148936355161782,0.1148936355161782,0.1148936355161782,0.1148936355161782,14.888675859349544,2.8798902882768505,4.150781221868906
94,0.13642394408222727,0.13642394408222727,0.13642394408222727,0.13642394408222727,21.913086262872984,3.070261635450664,4.558130398319118
95,0.12993663620839063,0.12993663620839063,0.12993663620839063,0.12993663620839063,19.185705179368316,3.010303221199904,4.427217595178552
96,0.1144206319896458,0.1144206319896458,0.1144206319896458,0.1144206319896458,14.78455715044866,2.8759726433394373,4.142647819908594
97,0.11456392866610682,0.11456392866610682,0.11456392866610682,0.11456392866610682,14.815945886008983,2.877158370140135,4.1451084709686565
98,0.11252295550809116,0.11252295550809116,0.11252295550809116,0.11252295550809116,14.38107724108818,2.860361745304497,4.1103348118726215
99,0.12168580806264756,0.12168580806264756,0.12168580806264756,0.12168580806264756,16.563704593610755,2.9373468839928485,4.271198358020524
100,0.11968399473550433,0.11968399473550433,0.11968399473550433,0.11968399473550433,16.032120447998,2.9201761891915012,4.234988604943988
